Gene,OMIM_en,OMIM_cn
CDKL5,"Developmental and epileptic encephalopathy 2(OMIM:300672, XLD)","发育性和癫痫性脑病 2(OMIM:300672, XLD)"
GNA11,"Hypocalciuric hypercalcemia, type II(OMIM:145981, AD);Hypocalcemia, autosomal dominant 2(OMIM:615361, AD)","低尿钙高钙血症，II型(OMIM:145981, AD);低钙血症，常染色体显性遗传 2(OMIM:615361, AD)"
MAP2K1,"Melorheostosis, isolated, somatic mosaic(OMIM:155950, nan);Cardiofaciocutaneous syndrome 3(OMIM:615279, AD)","Melorheostosis，孤立的，体细胞镶嵌(OMIM:155950, nan);心面皮肤综合征 3(OMIM:615279, AD)"
RNF6,"Esophageal carcinoma, somatic(OMIM:133239, nan)","食道癌，体细胞(OMIM:133239, nan)"
TSPYL1,"Sudden infant death with dysgenesis of the testes syndrome(OMIM:608800, AR)","睾丸发育不全综合征导致婴儿猝死(OMIM:608800, AR)"
NSDHL,"CK syndrome(OMIM:300831, XLR);CHILD syndrome(OMIM:308050, XLD)","CK综合征(OMIM:300831, XLR);儿童综合征(OMIM:308050, XLD)"
HCN4,"Sick sinus syndrome 2(OMIM:163800, AD);Brugada syndrome 8(OMIM:613123, nan);{Epilepsy, idiopathic generalized, susceptibility to, 18}(OMIM:619521, AD)","病态窦房结综合征 2(OMIM:163800, AD);Brugada 综合征 8(OMIM:613123, nan);{癫痫，特发性全身性，易感性，18}(OMIM:619521, AD)"
DCN,"Corneal dystrophy, congenital stromal(OMIM:610048, AD)","角膜营养不良，先天性基质(OMIM:610048, AD)"
GLRA1,"Hyperekplexia 1(OMIM:149400, AD, AR)","惊恐症 1(OMIM:149400, AD, AR)"
ADIPOQ,"Adiponectin deficiency(OMIM:612556, nan)","脂联素缺乏症(OMIM:612556, nan)"
AEBP1,"Ehlers-Danlos syndrome, classic-like, 2(OMIM:618000, AR)","Ehlers-Danlos 综合征，经典样，2(OMIM:618000, AR)"
NEXN,"Cardiomyopathy, dilated, 1CC(OMIM:613122, AD);Cardiomyopathy, hypertrophic, 20(OMIM:613876, AD)","心肌病，扩张型，1CC(OMIM:613122, AD);心肌病，肥厚，20(OMIM:613876, AD)"
EXOSC9,"Pontocerebellar hypoplasia, type 1D(OMIM:618065, AR)","脑桥小脑发育不全，1D型(OMIM:618065, AR)"
GNRHR,"Hypogonadotropic hypogonadism 7 without anosmia(OMIM:146110, AR)","低促性腺激素性腺功能减退症 7 无嗅觉丧失(OMIM:146110, AR)"
CILP,"{Lumbar disc disease, susceptibility to}(OMIM:603932, nan)","{腰椎间盘疾病，易感}(OMIM:603932, nan)"
NPHP4,"Nephronophthisis 4(OMIM:606966, AR);Senior-Loken syndrome 4(OMIM:606996, AR)","肾痨 4(OMIM:606966, AR);Senior-Loken 综合征 4(OMIM:606996, AR)"
ANKRD26,"Thrombocytopenia 2(OMIM:188000, AD)","血小板减少症 2(OMIM:188000, AD)"
ARSK,"Mucopolysaccharidosis, type X(OMIM:619698, AR)","X型粘多糖贮积症(OMIM:619698, AR)"
RAB28,"Cone-rod dystrophy 18(OMIM:615374, AR)","锥杆营养不良 18(OMIM:615374, AR)"
ASXL2,"Shashi-Pena syndrome(OMIM:617190, AD)","Shashi-Pena 综合征(OMIM:617190, AD)"
CDH1,"Breast cancer, lobular, somatic(OMIM:114480, nan);Blepharocheilodontic syndrome 1(OMIM:119580, AD);Diffuse gastric and lobular breast cancer syndrome with or without cleft lip and/or palate(OMIM:137215, AD);Ovarian cancer, somatic(OMIM:167000, nan);{Prostate cancer, susceptibility to}(OMIM:176807, AD, SMu);Endometrial carcinoma, somatic(OMIM:608089, nan)","乳腺癌，小叶癌，体细胞癌(OMIM:114480, nan);眼睑龅牙综合征 1(OMIM:119580, AD);伴有或不伴有唇裂和/或腭裂的弥漫性胃癌和小叶乳腺癌综合征(OMIM:137215, AD);卵巢癌，体细胞(OMIM:167000, nan);{前列腺癌，易感性}(OMIM:176807, AD, SMu);子宫内膜癌，体细胞(OMIM:608089, nan)"
GJA1,"Palmoplantar keratoderma with congenital alopecia(OMIM:104100, AD);Oculodentodigital dysplasia(OMIM:164200, AD);Syndactyly, type III(OMIM:186100, AD);Craniometaphyseal dysplasia, autosomal recessive(OMIM:218400, AR);Hypoplastic left heart syndrome 1(OMIM:241550, AR);Oculodentodigital dysplasia, autosomal recessive(OMIM:257850, AR);Atrioventricular septal defect 3(OMIM:600309, AD);Erythrokeratodermia variabilis et progressiva 3(OMIM:617525, AD)","掌跖角化病伴先天性脱发(OMIM:104100, AD);眼齿指发育不良(OMIM:164200, AD);并指，III型(OMIM:186100, AD);颅骨骺端发育不良，常染色体隐性遗传(OMIM:218400, AR);左心发育不全综合征1(OMIM:241550, AR);眼齿指发育不良，常染色体隐性遗传(OMIM:257850, AR);房室间隔缺损 3(OMIM:600309, AD);红斑皮病可变和进行性 3(OMIM:617525, AD)"
TRAIP,"Seckel syndrome 9(OMIM:616777, AR)","Seckel 综合征 9(OMIM:616777, AR)"
STK36,"?Ciliary dyskinesia, primary, 46(OMIM:619436, AR)","?纤毛运动障碍，原发性，46(OMIM:619436, AR)"
ZDHHC9,"Intellectual developmental disorder, X-linked, syndromic, Raymond type(OMIM:300799, XL)","智力发育障碍，X连锁，综合征，雷蒙德型(OMIM:300799, XL)"
HS6ST2,"?Paganini-Miozzo syndrome(OMIM:301025, XLR)","?帕格尼尼-米奥佐综合征(OMIM:301025, XLR)"
ZNF408,"Retinitis pigmentosa 72(OMIM:616469, AR);?Exudative vitreoretinopathy 6(OMIM:616468, AD)","色素性视网膜炎 72(OMIM:616469, AR);?渗出性玻璃体视网膜病变 6(OMIM:616468, AD)"
HYDIN,"Ciliary dyskinesia, primary, 5(OMIM:608647, AR)","纤毛运动障碍，原发性，5(OMIM:608647, AR)"
CACNA1F,"Night blindness, congenital stationary (incomplete), 2A, X-linked(OMIM:300071, XL);Cone-rod dystrophy, X-linked, 3(OMIM:300476, XLR);Aland Island eye disease(OMIM:300600, XL)","夜盲症，先天性静止（不完全），2A，X连锁(OMIM:300071, XL);锥杆营养不良，X连锁，3(OMIM:300476, XLR);奥兰岛眼病(OMIM:300600, XL)"
WAS,"Neutropenia, severe congenital, X-linked(OMIM:300299, XLR);Wiskott-Aldrich syndrome(OMIM:301000, XLR);Thrombocytopenia, X-linked, intermittent(OMIM:313900, XLR);Thrombocytopenia, X-linked(OMIM:313900, XLR)","中性粒细胞减少症，严重的先天性，X 连锁(OMIM:300299, XLR);Wiskott-Aldrich 综合征(OMIM:301000, XLR);血小板减少症，X连锁，间歇性(OMIM:313900, XLR);血小板减少症，X连锁(OMIM:313900, XLR)"
SGOL1,"Chronic atrial and intestinal dysrhythmia(OMIM:616201, AR)","慢性心房和肠道心律失常(OMIM:616201, AR)"
JPH3,"Huntington disease-like 2(OMIM:606438, AD)","亨廷顿病样2(OMIM:606438, AD)"
DMXL2,"?Polyendocrine-polyneuropathy syndrome(OMIM:616113, AR);?Deafness, autosomal dominant 71(OMIM:617605, AD);Developmental and epileptic encephalopathy 81(OMIM:618663, AR)","?多内分泌-多发性神经病综合征(OMIM:616113, AR);?耳聋，常染色体显性遗传 71(OMIM:617605, AD);发育性和癫痫性脑病 81(OMIM:618663, AR)"
DSG3,"Blistering, acantholytic, of oral and laryngeal mucosa(OMIM:619226, AR)","口腔和喉部黏膜起泡、棘层松解(OMIM:619226, AR)"
PCYT1A,"Spondylometaphyseal dysplasia with cone-rod dystrophy(OMIM:608940, AR)","椎体干骺端发育不良伴锥杆营养不良(OMIM:608940, AR)"
PRPF31,"Retinitis pigmentosa 11(OMIM:600138, AD)","色素性视网膜炎 11(OMIM:600138, AD)"
ABHD16A,"Spastic paraplegia 86, autosomal recessive(OMIM:619735, AR)","痉挛性截瘫 86，常染色体隐性遗传(OMIM:619735, AR)"
SLC6A20,"Hyperglycinuria(OMIM:138500, AD);Iminoglycinuria, digenic(OMIM:242600, AR, DR)","高甘氨酸尿症(OMIM:138500, AD);亚氨基甘氨酸尿症，双基因(OMIM:242600, AR, DR)"
SNRPN,"Prader-Willi syndrome(OMIM:176270, AD)","Prader-Willi 综合征(OMIM:176270, AD)"
PRKACA,"Cardioacrofacial dysplasia 1(OMIM:619142, AD)","心颌面发育不良1(OMIM:619142, AD)"
MEIF2,"?Combined oxidative phosphorylation deficiency 49(OMIM:619024, AR)","?联合氧化磷酸化缺乏症 49(OMIM:619024, AR)"
AIPL1,"Leber congenital amaurosis 4(OMIM:604393, AD, AR);Cone-rod dystrophy(OMIM:604393, AD, AR);Retinitis pigmentosa, juvenile(OMIM:604393, AD, AR)","莱伯先天性黑蒙4(OMIM:604393, AD, AR);锥杆营养不良(OMIM:604393, AD, AR);青少年色素性视网膜炎(OMIM:604393, AD, AR)"
JAK1,"Autoinflammation, immune dysregulation, and eosinophilia(OMIM:618999, AD)","自身炎症、免疫失调和嗜酸性粒细胞增多(OMIM:618999, AD)"
SCN4A,"Paramyotonia congenita(OMIM:168300, AD);Hyperkalemic periodic paralysis, type 2(OMIM:170500, AD);Myotonia congenita, atypical, acetazolamide-responsive(OMIM:608390, AD);Hypokalemic periodic paralysis, type 2(OMIM:613345, AD);Myasthenic syndrome, congenital, 16(OMIM:614198, AR)","先天性副肌强直(OMIM:168300, AD);高钾性周期性麻痹，2型(OMIM:170500, AD);先天性肌强直，非典型，对乙酰唑胺有反应(OMIM:608390, AD);低钾性周期性麻痹，2型(OMIM:613345, AD);肌无力综合征，先天性，16(OMIM:614198, AR)"
SCN5A,"Heart block, nonprogressive(OMIM:113900, AD);Heart block, progressive, type IA(OMIM:113900, AD);{Sudden infant death syndrome, susceptibility to}(OMIM:272120, AR);Brugada syndrome 1(OMIM:601144, AD);Cardiomyopathy, dilated, 1E(OMIM:601154, AD);Ventricular fibrillation, familial, 1(OMIM:603829, nan);Long QT syndrome 3(OMIM:603830, AD);Sick sinus syndrome 1(OMIM:608567, AR);Atrial fibrillation, familial, 10(OMIM:614022, AD)","心脏传导阻滞，非进行性(OMIM:113900, AD);心脏传导阻滞，进行性，IA 型(OMIM:113900, AD);{婴儿猝死综合症，易感性}(OMIM:272120, AR);Brugada 综合征 1(OMIM:601144, AD);扩张型心肌病，1E(OMIM:601154, AD);室颤，家族性，1(OMIM:603829, nan);长 QT 综合征 3(OMIM:603830, AD);病态窦房结综合征 1(OMIM:608567, AR);心房颤动，家族性，10(OMIM:614022, AD)"
FAAH,"{Drug addiction, susceptibility to}(OMIM:606581, nan)","{毒瘾，易感性}(OMIM:606581, nan)"
TUBGCP4,"Microcephaly and chorioretinopathy, autosomal recessive, 3(OMIM:616335, AR)","小头畸形和脉络膜视网膜病变，常染色体隐性遗传，3(OMIM:616335, AR)"
MYMK,"Carey-Fineman-Ziter syndrome(OMIM:254940, AR)","Carey-Fineman-Ziter 综合征(OMIM:254940, AR)"
GLS,"Developmental and epileptic encephalopathy 71(OMIM:618328, AR);?Infantile cataract, skin abnormalities, glutamate excess, and impaired intellectual development(OMIM:618339, AD);Global developmental delay, progressive ataxia, and elevated glutamine(OMIM:618412, AR)","发育性和癫痫性脑病 71(OMIM:618328, AR);?婴儿白内障、皮肤异常、谷氨酸过多、智力发育受损(OMIM:618339, AD);全球发育迟缓、进行性共济失调和谷氨酰胺升高(OMIM:618412, AR)"
CPT1C,"?Spastic paraplegia 73, autosomal dominant(OMIM:616282, AD)","?痉挛性截瘫73，常染色体显性遗传(OMIM:616282, AD)"
KMT2D,"Kabuki syndrome 1(OMIM:147920, AD)","歌舞伎综合征 1(OMIM:147920, AD)"
PLA2G4A,"Gastrointestinal ulceration, recurrent, with dysfunctional platelets(OMIM:618372, AR)","胃肠道溃疡，复发性，血小板功能障碍(OMIM:618372, AR)"
WIPI2,"?Intellectual developmental disorder with short stature and variable skeletal anomalies(OMIM:618453, AR)","? 智力发育障碍，身材矮小和多变的骨骼异常(OMIM:618453, AR)"
TRAPPC11,"Muscular dystrophy, limb-girdle, autosomal recessive 18(OMIM:615356, AR)","肌营养不良，肢带型，常染色体隐性遗传 18(OMIM:615356, AR)"
SBDS,"Shwachman-Diamond syndrome 1(OMIM:260400, AR);{Aplastic anemia, susceptibility to}(OMIM:609135, nan)","Shwachman-Diamond 综合征 1(OMIM:260400, AR);{再生障碍性贫血，易感性}(OMIM:609135, nan)"
IRS2,"{Diabetes mellitus, noninsulin-dependent}(OMIM:125853, AD)","糖尿病，非胰岛素依赖型(OMIM:125853, AD)"
ATXN7,"Spinocerebellar ataxia 7(OMIM:164500, AD)","脊髓小脑性共济失调 7(OMIM:164500, AD)"
RFX6,"Mitchell-Riley syndrome(OMIM:615710, AR)","米切尔-莱利综合征(OMIM:615710, AR)"
PGK1,"Phosphoglycerate kinase 1 deficiency(OMIM:300653, XLR)","磷酸甘油酸激酶 1 缺乏症(OMIM:300653, XLR)"
TTC21A,"Spermatogenic failure 37(OMIM:618429, AR)","生精失败 37(OMIM:618429, AR)"
WDR34,"Short-rib thoracic dysplasia 11 with or without polydactyly(OMIM:615633, AR)","胸廓发育不良 11 伴或不伴多指畸形(OMIM:615633, AR)"
NR2F1,"Bosch-Boonstra-Schaaf optic atrophy syndrome(OMIM:615722, AD)","Bosch-Boonstra-Schaaf 视神经萎缩综合征(OMIM:615722, AD)"
DZIP1L,"Polycystic kidney disease 5(OMIM:617610, AR)","多囊肾病 5(OMIM:617610, AR)"
TSFM,"Combined oxidative phosphorylation deficiency 3(OMIM:610505, AR)","联合氧化磷酸化缺乏症 3(OMIM:610505, AR)"
EPS8L2,"Deafness autosomal recessive 106(OMIM:617637, AR)","耳聋 常染色体隐性遗传 106(OMIM:617637, AR)"
INS,"Diabetes mellitus, insulin-dependent, 2(OMIM:125852, AD);Maturity-onset diabetes of the young, type 10(OMIM:613370, AD);Hyperproinsulinemia(OMIM:616214, AD);Diabetes mellitus, permanent neonatal 4(OMIM:618858, AD, AR)","糖尿病，胰岛素依赖型，2(OMIM:125852, AD);青少年 10 型成人型糖尿病(OMIM:613370, AD);高胰岛素血症(OMIM:616214, AD);糖尿病，永久性新生儿 4(OMIM:618858, AD, AR)"
RHAG,"Overhydrated hereditary stomatocytosis(OMIM:185000, AD);Anemia, hemolytic, Rh-null, regulator type(OMIM:268150, AD)","过度水合遗传性口细胞增多症(OMIM:185000, AD);贫血，溶血，Rh-null，调节型(OMIM:268150, AD)"
GK,"Glycerol kinase deficiency(OMIM:307030, XLR)","甘油激酶缺乏症(OMIM:307030, XLR)"
RAB18,"Warburg micro syndrome 3(OMIM:614222, AR)","Warburg 微综合征 3(OMIM:614222, AR)"
RPS27,"?Diamond-Blackfan anemia 17(OMIM:617409, AD)","?Diamond-Blackfan 贫血 17(OMIM:617409, AD)"
POFUT1,"Dowling-Degos disease 2(OMIM:615327, AD)","道林-德戈斯病 2(OMIM:615327, AD)"
CASP10,"Autoimmune lymphoproliferative syndrome, type II(OMIM:603909, AD);Lymphoma, non-Hodgkin, somatic(OMIM:605027, nan);Gastric cancer, somatic(OMIM:613659, nan)","自身免疫性淋巴增生综合征，II型(OMIM:603909, AD);淋巴瘤，非霍奇金，体细胞(OMIM:605027, nan);胃癌，体细胞(OMIM:613659, nan)"
PHF9,"Fanconi anemia, complementation group L(OMIM:614083, AR)","范可尼贫血，互补组 L(OMIM:614083, AR)"
ADD1,"{Hypertension, essential, salt-sensitive}(OMIM:145500, Mu)","{高血压，必需，盐敏感}(OMIM:145500, Mu)"
LTBP4,"Cutis laxa, autosomal recessive, type IC(OMIM:613177, AR)","皮肤松弛，常染色体隐性遗传，IC型(OMIM:613177, AR)"
GNAI1,"Neurodevelopmental disorder with hypotonia, impaired speech, and behavioral abnormalities(OMIM:619854, AD)","伴有张力减退、言语障碍和行为异常的神经发育障碍(OMIM:619854, AD)"
SDHAF1,"Mitochondrial complex II deficiency, nuclear type 2(OMIM:619166, AR)","线粒体复合体 II 缺陷，核型 2(OMIM:619166, AR)"
HGF,"Deafness, autosomal recessive 39(OMIM:608265, AR)","耳聋，常染色体隐性遗传 39(OMIM:608265, AR)"
CAPN10,"{Diabetes mellitus, noninsulin-dependent 1}(OMIM:601283, nan)","糖尿病，非胰岛素依赖型 1(OMIM:601283, nan)"
ALDH3A2,"Sjogren-Larsson syndrome(OMIM:270200, AR)","干燥-拉尔森综合征(OMIM:270200, AR)"
CNTN2,"?Epilepsy, myoclonic, familial adult, 5(OMIM:615400, AR)","?癫痫，肌阵挛，家族性成人，5(OMIM:615400, AR)"
PHF6,"Borjeson-Forssman-Lehmann syndrome(OMIM:301900, XLR)","Borjeson-Forssman-Lehmann 综合征(OMIM:301900, XLR)"
SLC27A4,"Ichthyosis prematurity syndrome(OMIM:608649, AR)","鱼鳞病早产儿综合症(OMIM:608649, AR)"
ADCY1,"?Deafness, autosomal recessive 44(OMIM:610154, AR)","?耳聋，常染色体隐性遗传 44(OMIM:610154, AR)"
SIX1,"Deafness, autosomal dominant 23(OMIM:605192, AD);Branchiootic syndrome 3(OMIM:608389, AD)","耳聋，常染色体显性遗传 23(OMIM:605192, AD);分支综合征 3(OMIM:608389, AD)"
COX4I1,"Mitochondrial complex IV deficiency, nuclear type 16(OMIM:619060, AR)","线粒体复合体 IV 缺乏，核型 16(OMIM:619060, AR)"
PON1,"{Microvascular complications of diabetes 5}(OMIM:612633, nan)","{糖尿病的微血管并发症 5}(OMIM:612633, nan)"
FAR1,"Peroxisomal fatty acyl-CoA reductase 1 disorder(OMIM:616154, AR);Cataracts, spastic paraparesis, and speech delay(OMIM:619338, AD)","过氧化物酶体脂肪酰基辅酶A还原酶1障碍(OMIM:616154, AR);白内障、痉挛性截瘫和言语延迟(OMIM:619338, AD)"
RBP3,"?Retinitis pigmentosa 66(OMIM:615233, AR)","?色素性视网膜炎 66(OMIM:615233, AR)"
AP1S2,"Pettigrew syndrome(OMIM:304340, XLR)","小矮星综合症(OMIM:304340, XLR)"
LRAT,"Retinal dystrophy, early-onset severe(OMIM:613341, AR);Retinitis pigmentosa, juvenile(OMIM:613341, AR);Leber congenital amaurosis 14(OMIM:613341, AR)","视网膜营养不良，早发性严重(OMIM:613341, AR);青少年色素性视网膜炎(OMIM:613341, AR);莱伯先天性黑蒙 14(OMIM:613341, AR)"
ENG,"Telangiectasia, hereditary hemorrhagic, type 1(OMIM:187300, AD)","毛细血管扩张症，遗传性出血，1型(OMIM:187300, AD)"
ACD,"?Dyskeratosis congenita, autosomal dominant 6(OMIM:616553, AD, AR);?Dyskeratosis congenita, autosomal recessive 7(OMIM:616553, AD, AR)","?先天性角化不良，常染色体显性遗传 6(OMIM:616553, AD, AR);?先天性角化不良，常染色体隐性遗传 7(OMIM:616553, AD, AR)"
RAC2,"Immunodeficiency 73A with defective neutrophil chemotaxix and leukocytosis(OMIM:608203, AD);Immunodeficiency 73B with defective neutrophil chemotaxis and lymphopenia(OMIM:618986, AD);?Immunodeficiency 73C with defective neutrophil chemotaxis and hypogammaglobulinemia(OMIM:618987, AR)","具有缺陷的中性粒细胞趋化性和白细胞增多的免疫缺陷 73A(OMIM:608203, AD);具有缺陷的中性粒细胞趋化性和淋巴细胞减少的免疫缺陷 73B(OMIM:618986, AD);? 免疫缺陷 73C 伴中性粒细胞趋化性缺陷和低丙种球蛋白血症(OMIM:618987, AR)"
NDUFS4,"Mitochondrial complex I deficiency, nuclear type 1(OMIM:252010, AR)","线粒体复合体 I 缺乏，核型 1(OMIM:252010, AR)"
TUBB4B,"Leber congenital amaurosis with early-onset deafness(OMIM:617879, AD)","Leber 先天性黑蒙伴早发性耳聋(OMIM:617879, AD)"
TREH,"Trehalase deficiency(OMIM:612119, AR)","海藻糖酶缺乏症(OMIM:612119, AR)"
TECPR2,"Neuropathy, hereditary sensory and autonomic, type IX, with developmental delay(OMIM:615031, AR)","神经病变，遗传性感觉和自主神经，IX 型，发育迟缓(OMIM:615031, AR)"
CORIN,"Preeclampsia/eclampsia 5(OMIM:614595, nan)","先兆子痫/子痫 5(OMIM:614595, nan)"
SLC39A4,"Acrodermatitis enteropathica(OMIM:201100, AR)","肠病性肢端皮炎(OMIM:201100, AR)"
OAT,"Gyrate atrophy of choroid and retina with or without ornithinemia(OMIM:258870, AR)","脉络膜和视网膜旋转性萎缩伴或不伴鸟氨酸血症(OMIM:258870, AR)"
SOS2,"Noonan syndrome 9(OMIM:616559, AD)","努南综合征 9(OMIM:616559, AD)"
SIL1,"Marinesco-Sjogren syndrome(OMIM:248800, AR)","Marinesco-Sjogren 综合征(OMIM:248800, AR)"
RETREG1,"Neuropathy, hereditary sensory and autonomic, type IIB(OMIM:613115, AR)","神经病，遗传性感觉和自主神经，IIB 型(OMIM:613115, AR)"
GPX1,"Hemolytic anemia due to glutathione peroxidase deficiency(OMIM:614164, AR)","谷胱甘肽过氧化物酶缺乏引起的溶血性贫血(OMIM:614164, AR)"
NHLRC1,"Epilepsy, progressive myoclonic 2B (Lafora)(OMIM:254780, AR)","癫痫，进行性肌阵挛 2B (Lafora)(OMIM:254780, AR)"
SERPINB7,"Palmoplantar keratoderma, Nagashima type(OMIM:615598, AR)","掌跖角化病，长岛型(OMIM:615598, AR)"
NDUFB8,"Mitochondrial complex I deficiency, nuclear type 32(OMIM:618252, AR)","线粒体复合体 I 缺乏，核型 32(OMIM:618252, AR)"
TUBB3,"Fibrosis of extraocular muscles, congenital, 3A(OMIM:600638, AD);Cortical dysplasia, complex, with other brain malformations 1(OMIM:614039, AD)","先天性眼外肌纤维化，3A(OMIM:600638, AD);皮质发育不良，复杂，伴有其他脑部畸形 1(OMIM:614039, AD)"
SETD1B,"Intellectual developmental disorder with seizures and language delay(OMIM:619000, AD)","伴有癫痫发作和语言迟缓的智力发育障碍(OMIM:619000, AD)"
POLR2A,"Neurodevelopmental disorder with hypotonia and variable intellectual and behavioral abnormalities(OMIM:618603, AD)","伴有肌张力减退和多变的智力和行为异常的神经发育障碍(OMIM:618603, AD)"
ARHGEF10,"?Slowed nerve conduction velocity, AD(OMIM:608236, AD)","?减慢的神经传导速度，AD(OMIM:608236, AD)"
