"id","Phenotype"
"10283","Retinitis pigmentosa with or without skeletal anomalies(250410)"
"1029","Melanoma, cutaneous malignant, susceptibility to, 2(155601)|Astrocytoma syndrome(155755)|Pancreatic cancer syndrome(606719)"
"10290","Myopathy, centronuclear, 5(615959)"
"10293","Seckel syndrome 9(616777)"
"10295","Chain keto acid dehydrogenase kinase deficiency(614923)"
"10297","Sotos syndrome 3(617169)|Cortical dysplasia, complex, with other brain malformations 10(618677)"
"10299","Epilepsy, familial adult myoclonic, 3(613608)"
"103","Dyschromatosis symmetrica hereditaria(127400)|Goutieres syndrome 6(615010)"
"10300","Lissencephaly 6 with microcephaly(616212)"
"10309","Ciliary dyskinesia, primary, 29(615872)"
"10312","Osteopetrosis, autosomal recessive 1(259700)"
"10319","Cortical malformations, occipital(614115)"
"10320","Immunodeficiency, common variable, 13(616873)"
"10324","Nemaline myopathy 9(615731)"
"10329","Dystroglycanopathy (congenital with brain and eye anomalies), type a, 10(615041)"
"10342","Neuropathy, hereditary motor and sensory, okinawa type(604484)|Spastic paraplegia 57, autosomal recessive(615658)"
"10345","Ventricular tachycardia, catecholaminergic polymorphic, 1, with or without atrial dysfunction and/or dilated cardiomyopathy(604772)|Cardiac arrhythmia syndrome, with or without skeletal muscle weakness(615441)"
"10347","Alzheimer disease 9, susceptibility to(608907)"
"10352","Neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures(617710)"
"10367","Myopathy with extrapyramidal signs(615673)"
"10369","Mental retardation, autosomal dominant 10(614256)"
"10370","Ventricular septal defect 2(614431)|Atrial septal defect 8(614433)"
"10371","Hypogonadotropic hypogonadism 16 with or without anosmia(614897)"
"10379","Immunodeficiency 65, susceptibility to viral infections(618648)"
"10381","Fibrosis of extraocular muscles, congenital, 3a, with or without extraocular involvement(600638)|Cortical dysplasia, complex, with other brain malformations 1(614039)"
"10382","Dystonia 4, torsion, autosomal dominant(128101)|Leukodystrophy, hypomyelinating, 6(612438)"
"10383","Onset deafness(617879)"
"10388","Spermatogenic failure 1(258150)"
"10395","Colorectal cancer(114500)"
"10397","Tooth disease, type 4d(601455)"
"10398","Intestinal hypoperistalsis syndrome 4(619365)"
"104","Neurodevelopmental disorder with hypotonia, microcephaly, and seizures(618862)"
"1041","Hypotrichosis 2(146520)|Peeling skin syndrome 1(270300)"
"10410","Influenza, severe, susceptibility to(614680)"
"10413","Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or mental retardation(120433)"
"10436","Conradi syndrome(211180)"
"10456","Neutropenia, severe congenital, 3, autosomal recessive(610738)"
"10457","Amyloidosis, primary localized cutaneous, 3(617920)"
"10459","Fanconi anemia, complementation group v(617243)"
"10461","Retinitis pigmentosa 38(613862)"
"10463","Perez syndrome(617595)"
"10464","Joubert syndrome 33(617767)"
"10466","Congenital disorder of glycosylation, type iii(613612)"
"10472","Mental retardation, autosomal dominant 22(612337)"
"10479","Linked, syndromic, christianson type(300243)"
"10481","Prostate cancer, hereditary, 9(610997)"
"10483","Anemia, congenital dyserythropoietic, type ii(224100)|Cowden syndrome 7(616858)"
"10484","Craniolenticulosutural dysplasia(607812)"
"10491","Osteogenesis imperfecta, type vii(610682)"
"1050","Leukemia, acute myeloid(601626)"
"10501","Epilepsy, progressive myoclonic, 11(618876)"
"10516","Cutis laxa, autosomal recessive, type ia(219100)|Related macular degeneration(608895)|Cutis laxa, autosomal dominant 2(614434)"
"10518","Deafness, autosomal recessive 48(609439)|Usher syndrome, type ij(614869)"
"10519","Epidermodysplasia verruciformis, susceptibility to, 3(618267)"
"10522","De vries syndrome(615828)|Neurodevelopmental disorder with hypotonia and impaired expressive language and with or without seizures(617171)"
"10524","Neurodevelopmental disorder with dysmorphic facies, sleep disturbance, and brain abnormalities(619103)"
"10525","Immunodeficiency 59 and hypoglycemia(233600)"
"105259599","Wiedemann syndrome(130650)|Russell syndrome 1(180860)|Wilms tumor 2(194071)"
"10526","Viss syndrome(619472)"
"10528","Spinocerebellar ataxia 36(614153)"
"1053","Specific granule deficiency 1(245480)"
"10531","Spinocerebellar ataxia, autosomal recessive 30(619405)"
"10533","Spinocerebellar ataxia, autosomal recessive 31(619422)"
"10535","Goutieres syndrome 4(610333)"
"105371045","Diarrhea 11, malabsorptive, congenital(618662)"
"10555","Lipodystrophy, congenital generalized, type 1(608594)"
"10558","Neuropathy, hereditary sensory and autonomic, type ia(162400)"
"10559","Congenital disorder of glycosylation, type iif(603585)"
"1056","Onset diabetes of the young, type 8, with exocrine dysfunction(609812)"
"10560","Responsive megaloblastic anemia syndrome(249270)"
"10564","Periventricular heterotopia with microcephaly, autosomal recessive(608097)"
"10568","Pulmonary alveolar microlithiasis(265100)"
"10577","Pick disease, type c2(607625)"
"10584","3mc syndrome 3(248340)"
"10585","Dystroglycanopathy (congenital with brain and eye anomalies), type a, 1(236670)|Girdle), type c, 1(609308)|Dystroglycanopathy (congenital with impaired intellectual impairment), type b, 1(613155)"
"10586","Microphthalmia/coloboma and skeletal dysplasia syndrome(615877)"
"10587","Glucocorticoid deficiency 5(617825)"
"10588","Neurodevelopmental disorder with microcephaly, epilepsy, and hypomyelination(618367)"
"10594","Retinitis pigmentosa 13(600059)"
"10599","Hyperbilirubinemia, rotor type(237450)"
"10613","Spastic paraplegia 62, autosomal recessive(615681)"
"10616","Polyglucosan body myopathy 1 with or without immunodeficiency(615895)"
"10617","Capillary malformation syndrome(614261)"
"1062","Microcephaly 13, primary, autosomal recessive(616051)"
"10625","Immunodeficiency 70(618969)"
"1063","Stromme syndrome(243605)"
"10641","Epilepsy, familial focal, with variable foci 2(617116)"
"10644","Type 2 diabetes mellitus(125853)"
"10651","Mandibuloacral dysplasia progeroid syndrome(619127)"
"10653","Diarrhea 3, secretory sodium, congenital, with or without other congenital anomalies(270420)"
"10654","Porokeratosis 1, multiple types(175800)"
"10659","Developmental and epileptic encephalopathy 97(619561)"
"1066","Related(618057)"
"10660","Central hypoventilation syndrome, congenital, 3(619483)"
"10661","Lutheran inhibitor(111150)|Fetal hemoglobin quantitative trait locus 6(613566)|Anemia, congenital dyserythropoietic, type iv(613673)"
"10664","Mental retardation, autosomal dominant 21(615502)"
"10667","Combined oxidative phosphorylation deficiency 14(614946)|Spastic paraplegia 77, autosomal recessive(617046)"
"10677","Nephrotic syndrome, type 21(618594)"
"10681","Intellectual developmental disorder with cardiac arrhythmia(617173)|Hyperactivity disorder/cognitive impairment with or without cardiac arrhythmia(617182)"
"10682","Mend syndrome(300960)|Linked dominant(302960)"
"10683","Spondylocostal dysostosis 1, autosomal recessive(277300)"
"10686","Hypomagnesemia 3, renal(248250)"
"10695","Developmental and epileptic encephalopathy 60(617929)"
"10699","Preeclampsia/eclampsia 5(614595)"
"107","Deafness, autosomal recessive 44(610154)"
"1071","Hyperalphalipoproteinemia 1(143470)"
"10715","Epilepsy, progressive myoclonic, 8(616230)"
"10716","Intellectual developmental disorder with autism and speech delay(606053)"
"10717","Spastic paraplegia 47, autosomal recessive(614066)"
"1073","Nemaline myopathy 7(610687)"
"10730","Optic atrophy 11(617302)"
"10733","Microcephaly and chorioretinopathy, autosomal recessive, 2(616171)"
"10734","Premature ovarian failure 8(615723)"
"10735","Martinez syndrome(301022)|Linked(301043)"
"10743","Magenis syndrome(182290)"
"10747","Masp2 deficiency(613791)"
"10749","Spastic ataxia 2, autosomal recessive(611302)"
"1075","Periodontitis, aggressive, 1(170650)|Lefevre syndrome(245000)|Munk syndrome(245010)"
"10750","Deafness, autosomal recessive 114(618456)"
"10755","Oculopharyngodistal myopathy 2(618940)"
"10758","Psoriasis 13, susceptibility to(614070)|Candidiasis, familial, 8(615527)"
"10765","Mental retardation, autosomal recessive 65(618109)"
"10771","Mental retardation, autosomal dominant 30(616083)"
"10785","Microcephaly, growth deficiency, seizures, and brain malformations(618346)|Mowat syndrome 6(618347)"
"10786","Uric acid concentration, serum, quantitative trait locus 4(612671)"
"1080","Pancreatitis, hereditary(167800)|Bronchiectasis with or without elevated sweat chloride 1(211400)|Cystic fibrosis(219700)|Vas deferens, congenital bilateral aplasia of(277180)"
"10801","Amyotrophy, hereditary neuralgic(162100)"
"10804","Clouston syndrome(129500)|Deafness, autosomal recessive 1a(220290)|Linked 2(304400)|Deafness, autosomal dominant 3b(612643)|Deafness, autosomal recessive 1b(612645)"
"10806","Loken syndrome 7(613615)|Biedl syndrome 16(615993)"
"10815","Hirschhorn syndrome(194190)|Developmental and epileptic encephalopathy 63(617976)"
"10841","Glutamate formiminotransferase deficiency(229100)"
"10842","Hypercholesterolemia, familial, 1(143890)"
"10844","Pachygyria, microcephaly, developmental delay, and dysmorphic facies, with or without seizures(618737)"
"10845","Protoporphyria, erythropoietic, 2(618015)"
"10846","Onset(616921)|Striatal degeneration, autosomal dominant 2(616922)"
"10847","Harbor syndrome(136140)|Developmental delay, hypotonia, musculoskeletal defects, and behavioral abnormalities(619595)"
"10861","Nephrolithiasis, calcium oxalate(167030)"
"10878","Hemolytic uremic syndrome, atypical, susceptibility to, 1(235400)|Related, 1(603075)"
"10892","Immunodeficiency 12(615468)"
"109","Body mass index quantitative trait locus 19(617885)"
"10907","Mckeown syndrome(608572)"
"10908","Neuhauser syndrome(215470)|Moon syndrome(245800)|Mcfarlane syndrome(275400)|Spastic paraplegia 39, autosomal recessive(612020)"
"10913","Ectodermal dysplasia 10a, hypohidrotic/hair/nail type, autosomal dominant(129490)|Ectodermal dysplasia 10b, hypohidrotic/hair/tooth type, autosomal recessive(224900)|Hair morphology 1(612630)"
"10916","Bartter syndrome, type 5, antenatal, transient(300971)"
"10939","Spinocerebellar ataxia 28(610246)|Spastic ataxia 5, autosomal recessive(614487)|Optic atrophy 12(618977)"
"10940","Anauxetic dysplasia 2(617396)"
"10943","Akhtar syndrome(301032)"
"109580095","Thalassemia(613985)"
"10978","Pontocerebellar hypoplasia, type 10(615803)"
"10982","Skin creases, congenital symmetric circumferential, 2(616734)"
"10984","Wiedemann syndrome(130650)"
"10999","Ichthyosis prematurity syndrome(608649)"
"11005","Netherton syndrome(256500)"
"11011","Mental retardation, autosomal dominant 57(618050)"
"11014","Osteogenesis imperfecta, type xxi(619131)"
"11019","Hyperglycinemia, lactic acidosis, and seizures(614462)"
"11020","Biedl syndrome 19(615996)"
"11023","Microphthalmia, syndromic 11(614402)"
"1103","Myasthenic syndrome, congenital, 6, presynaptic(254210)"
"11041","Dystroglycanopathy (congenital with brain and eye anomalies), type a, 13(615287)"
"11043","Linked 101(300928)"
"1105","Bjornsson syndrome(617682)"
"1106","Developmental and epileptic encephalopathy 94(615369)"
"1107","Campeau syndrome(618205)"
"11077","Premature ovarian failure 19(619245)"
"11078","Deafness, autosomal recessive 28(609823)"
"1108","Weiss syndrome(617159)"
"11081","Cornea plana 2, autosomal recessive(217300)"
"1109","46,xy sex reversal 8(614279)"
"11093","Thrombotic thrombocytopenic purpura, hereditary(274150)"
"111","Dyskinesia, familial, with facial myokymia(606703)"
"11107","Brittle cornea syndrome 2(614170)"
"11113","Microcephaly 17, primary, autosomal recessive(617090)"
"11128","Rautenstrauch syndrome(264090)|Leukodystrophy, hypomyelinating, 7, with or without oligodontia and/or hypogonadotropic hypogonadism(607694)"
"11132","Type 2 diabetes mellitus 1(601283)"
"11133","Mental retardation, autosomal recessive 41(615637)"
"11136","Cystinuria(220100)"
"111365204","Macular dystrophy, retinal, 1, north carolina type(136550)|Chorioretinal atrophy, progressive bifocal(600790)"
"11141","Linked 21(300143)"
"11146","Glomuvenous malformations(138000)"
"11149","Girdle, autosomal recessive 25(616812)"
"11151","Immunodeficiency 8(615401)"
"11152","Neurodegeneration with brain iron accumulation 5(300894)"
"11154","Spastic paraplegia 52, autosomal recessive(614067)"
"11155","Cardiomyopathy, dilated, 1c, with or without left ventricular noncompaction(601493)|Myopathy, myofibrillar, 4(609452)"
"1116","Schizophrenia(181500)|Related traits, susceptibility to, 7(611960)"
"11160","Spastic paraplegia 18, autosomal recessive(611225)"
"11178","Esophageal cancer(133239)"
"1118","Chitotriosidase deficiency(614122)"
"11181","Trehalase deficiency(612119)"
"11190","Rod dystrophy and hearing loss 2(618358)"
"11198","Neurodevelopmental disorder with dysmorphic facies and thin corpus callosum(619480)"
"112","Lethal congenital contracture syndrome 8(616287)"
"1120","Muscular dystrophy, congenital, megaconial type(602541)"
"11200","Breast cancer(114480)|Colorectal cancer(114500)|Prostate cancer(176807)|Osteogenic sarcoma(259500)|Fraumeni syndrome 2(609265)"
"1121","Choroideremia(303100)"
"11212","Dependent(617290)"
"11213","Related traits, susceptibility to, 5(611064)"
"11216","Cardiac conduction defect(115080)"
"11222","Combined oxidative phosphorylation deficiency 9(614582)"
"11224","Blackfan anemia 19(618312)"
"1123","Duane retraction syndrome 2(604356)"
"11231","Polycystic liver disease 2 with or without kidney cysts(617004)"
"11232","Progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant 4(610131)|Mitochondrial dna depletion syndrome 16 (hepatic type)(618528)|Mitochondrial dna depletion syndrome 16b (neuroophthalmic type)(619425)"
"11234","Pudlak syndrome 5(614074)"
"11235","Cerebral cavernous malformations 3(603285)"
"11236","Renal cell carcinoma, nonpapillary(144700)"
"112476","Episodic kinesigenic dyskinesia 1(128200)|Convulsions, familial infantile, with paroxysmal choreoathetosis(602066)|Seizures, benign familial infantile, 2(605751)"
"11253","Rafiq syndrome(614202)"
"112609","Body mass index quantitative trait locus 18(615457)"
"11261","Spastic ataxia 9, autosomal recessive(618438)"
"11274","Torch syndrome 2(617397)"
"112744","Candidiasis, familial, 6(613956)"
"112752","Cranioectodermal dysplasia 3(614099)|Rib thoracic dysplasia 18 with polydactyly(617866)|Retinitis pigmentosa 81(617871)"
"112755","Generalized epilepsy with febrile seizures plus, type 9(616172)"
"11277","Systemic lupus erythematosus(152700)|Vasculopathy, retinal, with cerebral leukoencephalopathy and systemic manifestations(192315)|Goutieres syndrome 1(225750)|Chilblain lupus 1(610448)"
"11280","Neuropathy, hereditary sensory and autonomic, type vii(615548)|Episodic pain syndrome, familial, 3(615552)"
"112802","Hypotrichosis 13(615896)"
"11281","Wilms tumor 5(601583)"
"112812","Mitochondrial myopathy, episodic, with or without optic atrophy and reversible leukoencephalopathy(251900)"
"112817","Hyperoxaluria, primary, type iii(613616)"
"11284","Tooth disease, axonal, type 2b2(605589)|Microcephaly, seizures, and developmental delay(613402)|Oculomotor apraxia 4(616267)"
"11285","Danlos syndrome, spondylodysplastic type, 1(130070)"
"112858","Mowat syndrome 4(617730)"
"112939","Neurodevelopmental disorder with epilepsy, cataracts, feeding difficulties, and delayed brain myelination(617393)"
"1130","Higashi syndrome(214500)"
"1131","Prune belly syndrome(100100)"
"11311","Neutropenia, severe congenital, 5, autosomal recessive(615285)"
"11315","Onset(606324)"
"113179","Neurodevelopmental disorder with brain abnormalities, poor growth, and dysmorphic facies(615286)"
"113189","Danlos syndrome, musculocontractural type, 1(601776)"
"11322","Epidermodysplasia verruciformis, susceptibility to, 1(226400)"
"113235","Folate malabsorption, hereditary(229050)"
"113246","Temtamy syndrome(218340)"
"113263","Glucocorticoid therapy, response to(614400)"
"113278","Londe disease(211500)|Van laere syndrome 1(211530)"
"11330","Pancreatitis, hereditary(167800)"
"1134","Multiple pterygium syndrome, lethal type(253290)|Channel(601462)|Channel(608930)"
"11340","Pontocerebellar hypoplasia, type 1c(616081)"
"11342","Developmental and epileptic encephalopathy 73(618379)"
"113457","Keratoconus 9(617928)"
"1135","Epilepsy, nocturnal frontal lobe, 4(610353)"
"1136","Bladder dysfunction, autonomic, with impaired pupillary reflex and secondary cakut(191800)|Smoking as a quantitative trait locus 3(612052)"
"113612","Spastic paraplegia 56, autosomal recessive(615030)"
"1137","Tobacco addiction, susceptibility to(188890)|Epilepsy, nocturnal frontal lobe, 1(600513)"
"1138","Smoking as a quantitative trait locus 3(612052)"
"1139","Chromosome 15q13.3 deletion syndrome(612001)"
"1140","Channel(616313)|Myasthenic syndrome, congenital, 2c, associated with acetylcholine receptor deficiency(616314)"
"114034","Pontocerebellar hypoplasia, type 7(614969)"
"1141","Epilepsy, nocturnal frontal lobe, 3(605375)"
"114327","Epilepsy, myoclonic juvenile(254770)|Epilepsy, juvenile absence, susceptibility to, 1(607631)"
"1144","Multiple pterygium syndrome, lethal type(253290)|Channel(616321)|Channel(616322)|Myasthenic syndrome, congenital, 3c, associated with acetylcholine receptor deficiency(616323)"
"1145","Channel(605809)|Myasthenic syndrome, congenital, 4c, associated with acetylcholine receptor deficiency(608931)|Channel(616324)"
"114548","Familial cold autoinflammatory syndrome 1(120100)|Keratoendotheliitis fugax hereditaria(148200)|Wells syndrome(191900)|Cinca syndrome(607115)|Deafness, autosomal dominant 34, with or without inflammation(617772)"
"1146","Multiple pterygium syndrome, lethal type(253290)|Multiple pterygium syndrome, escobar variant(265000)"
"114609","Mycobacterium tuberculosis, susceptibility to(607948)|Malaria, susceptibility to(611162)|Bacteremia, susceptibility to, 1(614382)"
"114625","Radin blood group antigen(111620)|Scianna system(111750)"
"1147","Fetal encasement syndrome(613630)|Papas syndrome 2(619339)"
"114798","Gilles de la tourette syndrome(137580)|Trichotillomania(613229)"
"114803","Bone marrow failure syndrome 4(618116)"
"114902","Onset retinal degeneration(605670)"
"114928","Linked 7(301018)"
"115286","Combined oxidative phosphorylation deficiency 28(616794)"
"115399","Ciliary dyskinesia, primary, 39(618254)"
"1154","Mycobacterium tuberculosis, susceptibility to(607948)|Malaria, susceptibility to(611162)|Bacteremia, susceptibility to, 2(614383)"
"115650","Immunodeficiency, common variable, 2(240500)|Immunodeficiency, common variable, 4(613494)"
"115908","Barrett esophagus(614266)"
"115948","Ciliary dyskinesia, primary, 30(616037)"
"116085","Hypouricemia, renal, 1(220150)"
"1161","Cockayne syndrome a(216400)|Sensitive syndrome 2(614621)"
"116150","Congenital disorder of glycosylation, type iaa(617082)|Intellectual developmental disorder, autosomal dominant 55, with seizures(617831)"
"116228","Mitochondrial complex iv deficiency, nuclear type 11(619054)"
"116369","Spermatogenic failure 3(606766)"
"116442","Linked 72(300271)|Chromosome xq28 duplication syndrome(300815)|Waisman syndrome(311510)"
"116461","Pontocerebellar hypoplasia, type 2f(617026)"
"116519","Hyperlipoproteinemia, type v(144650)|Hypertriglyceridemia 1(145750)"
"116931","Isidor syndrome(618872)"
"117144","Spermatogenic failure 7(612997)"
"117155","Infertility syndrome(611102)|Spermatogenic failure 7(612997)"
"117156","Asthma, susceptibility to(600807)"
"1173","Intellectual developmental disorder, autosomal dominant 60, with seizures(618587)"
"1174","Mental retardation, enteropathy, deafness, peripheral neuropathy, ichthyosis, and keratoderma(609313)"
"1175","Hypocalciuric hypercalcemia, familial, type iii(600740)"
"117531","Deafness, autosomal recessive 7(600974)|Deafness, autosomal dominant 36(606705)"
"117581","Macrostomia syndrome(200110)|Say syndrome(209885)|Focal facial dermal dysplasia 3, setleis type(227260)"
"118","Hypertension, essential(145500)"
"1180","Myotonia congenita, autosomal dominant(160800)|Myotonia congenita, autosomal recessive(255700)"
"1181","Hyperaldosteronism, familial, type ii(605635)|Epilepsy, idiopathic generalized, susceptibility to, 11(607628)|Leukoencephalopathy with ataxia(615651)"
"1182","Neurodevelopmental disorder with hypotonia and brain abnormalities(619512)|Neurodevelopmental disorder with seizures and brain abnormalities(619517)"
"1183","Claes syndrome(300114)"
"1184","Dent disease 1(300009)|Linked recessive(300554)|Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis(308990)|Linked recessive, with renal failure(310468)"
"118429","Hyaline fibromatosis syndrome(228600)"
"118491","Spermatogenic failure 41(618670)"
"1185","Onset, with hypotonia, respiratory insufficiency, and brain imaging abnormalities(619173)"
"1186","Osteopetrosis, autosomal dominant 2(166600)|Osteopetrosis,  autosomal recessive 4(611490)|Hypopigmentation, organomegaly, and delayed myelination and development(618541)"
"1187","Bartter syndrome, type 4b, neonatal, with sensorineural deafness(613090)"
"1188","Bartter syndrome, type 3(607364)|Bartter syndrome, type 4b, neonatal, with sensorineural deafness(613090)"
"118813","Spastic paraplegia 33, autosomal dominant(610244)"
"118856","Heterotaxy, visceral, 7, autosomal(616749)"
"1193","Chromosome xq28 duplication syndrome(300815)|Linked, syndromic 32(300886)"
"119559","Combined oxidative phosphorylation deficiency 18(615578)"
"120","Cerebral palsy, spastic quadriplegic, 3(617008)"
"1200","Ceroid lipofuscinosis, neuronal, 2(204500)|Spinocerebellar ataxia, autosomal recessive 7(609270)"
"1201","Ceroid lipofuscinosis, neuronal, 3(204200)"
"120227","Deficient rickets, type 1b(600081)"
"1203","Ceroid lipofuscinosis, neuronal, 5(256731)"
"120766137","Hypotrichosis 4(146550)"
"120892","Parkinson disease 8, autosomal dominant(607060)"
"121214","Ichthyosis, congenital, autosomal recessive 13(617574)"
"121278","Major depressive disorder(608516)|Hyperactivity disorder, susceptibility to, 7(613003)"
"1213","Intellectual developmental disorder, autosomal dominant 56(617854)"
"121340","Osteogenesis imperfecta, type xii(613849)"
"121391","Woolly hair, autosomal dominant(194300)|Hypotrichosis 3(613981)|Ectodermal dysplasia 7, hair/nail type(614929)"
"121512","Tooth disease, type 4h(609311)"
"122402","Spermatogenic failure 30(618110)"
"122481","Spermatogenic failure 27(617965)"
"122553","Neurodevelopmental disorder with microcephaly, epilepsy, and brain atrophy(617862)"
"122622","Myopathy, distal, 5(617030)"
"122961","Multiple mitochondrial dysfunctions syndrome 4(616370)"
"123016","Retinitis pigmentosa 51(613464)|Biedl syndrome 8(615985)"
"123041","Skin/hair/eye pigmentation, variation in, 6(210750)|Amelogenesis imperfecta, hypomaturation type, iia5(615887)"
"123263","Combined oxidative phosphorylation deficiency 15(614947)|Mitochondrial complex i deficiency, nuclear type 27(618248)"
"123264","Bile acid malabsorption, primary, 2(619481)"
"1234","Hepatitis c virus, susceptibility to(609532)|West nile virus, susceptibility to(610379)|Type 1 diabetes mellitus 22(612522)"
"123606","Spastic paraplegia 6, autosomal dominant(600363)"
"123624","Corneal dystrophy, fuchs endothelial, 8(615523)"
"123872","Ciliary dyskinesia, primary, 13(613193)"
"124093","Myopathy, centronuclear, 4(614807)"
"1244","Johnson syndrome(237500)"
